Nombre,URL,Puntuacion,Comentarios,Municipio,Descripcion,Alrededores
Las Palmas - Espectacular casa a borde de lago con piscina,https://www.booking.com/hotel/co/las-palmas-espectacular-casa-familiar.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,"9,0",2 comentarios,Prado,"Las Palmas - Espectacular casa a borde de lago con piscina se encuentra en Prado y ofrece alojamiento con piscina privada y al lago. Dispone de piscina al aire libre, jardín, vistas a la piscina y wifi gratis en todo el alojamiento.

La casa o chalet cuenta con 4 dormitorios, 3 baños, ropa de cama, toallas, TV de pantalla plana, cocina totalmente equipada y terraza con vistas a la montaña.

La casa o chalet ofrece barbacoa.",¿Qué hay cerca?: Parque de la Candelaria - 12 km* || Restaurantes y cafeterías: RestauranteRestaurante Corprado - 11 km; Restaurantepastelería Manjares del Cruce - 12 km*; RestauranteBrasa y Sazón - 12 km* || Aeropuertos más cercanos: Aeropuerto de Ibagué - 76 km*
POINCOS ECO HOTEL,https://www.booking.com/hotel/co/poincos-eco.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,"8,7",8 comentarios,Prado,"POINCOS ECO HOTEL tiene piscina al aire libre, terraza, restaurante y bar en Prado. Hay parking privado gratis y hotel también dispone de servicio de traslado para descubrir los alrededores.

En el hotel, las habitaciones cuentan con balcón. En POINCOS ECO HOTEL, las habitaciones disponen de baño privado con bañera o ducha.

En el alojamiento se sirve un desayuno buffet.

El personal de la recepción 24 horas puede dar consejos sobre la zona.",¿Qué hay cerca?: Parque de la Candelaria - 12 km* || Restaurantes y cafeterías: RestauranteRestaurante Corprado - 12 km; Restaurantepastelería Manjares del Cruce - 11 km*; RestauranteBrasa y Sazón - 11 km* || Aeropuertos más cercanos: Aeropuerto de Ibagué - 76 km*
Isla Tortuga - Prado - Deportes Náuticos - Cerca a Bogotá - Cerca a Ibagué,https://www.booking.com/hotel/co/isla-tortuga.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,10,1 comentario,Prado,"Isla Tortuga - Prado - Deportes Náuticos - Cerca a Bogotá - Cerca a Ibagué, que cuenta con piscina privada y vistas a la piscina, se encuentra en Prado. Esta casa o chalet con vistas al lago y al jardín también ofrece wifi gratis.

La casa o chalet cuenta con patio y vistas a la montaña, y dispone de 5 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 4 baños con ducha.

La casa o chalet ofrece terraza solárium. Se puede practicar esquí o pesca, ir a la piscina al aire libre, disfrutar de un momento de relax en el jardín o usar la zona de barbacoa.

El aeropuerto (Aeropuerto de Ibagué) está a 86 km.",¿Qué hay cerca?: Parque de la Candelaria - 13 km || Restaurantes y cafeterías: Restaurantepastelería Manjares del Cruce - 12 km; RestauranteBrasa y Sazón - 12 km; Cafetería/barBeef Puff - 12 km || Aeropuertos más cercanos: Aeropuerto de Ibagué - 86 km
Mi Bello Suspiro,https://www.booking.com/hotel/co/el-suspiro.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,"6,5",2 comentarios,Prado,"Mi Bello Suspiro se encuentra en Prado y dispone de piscina privada y wifi gratis. Este alojamiento con vistas a la piscina ofrece balcón y piscina.

La casa o chalet cuenta con terraza y vistas a la montaña, y dispone de 4 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y 3 baños con bañera o ducha. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto (Aeropuerto de Ibagué) está a 104 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Restaurantes y cafeterías: RestauranteRestaurante Corprado - 4,8 km; Restaurantepastelería Manjares del Cruce - 36 km; RestauranteBrasa y Sazón - 35 km"
La Casa White,https://www.booking.com/hotel/co/fincasa-del-mar-casa-blanca.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,10,2 comentarios,Prado,"La Casa White, que tiene piscina al aire libre, jardín y zona de playa privada, dispone de alojamiento en Prado con wifi gratis y vistas a la piscina. Esta casa o chalet, que incluye piscina privada, también tiene restaurante.

La casa o chalet ofrece una terraza y vistas a la montaña e incluye 4 dormitorios, sala de estar, TV de pantalla plana vía satélite, cocina equipada y 3 baños con ducha y bañera. Hay toallas y ropa de cama en la casa o chalet.

En la casa o chalet se puede disfrutar de un desayuno a la carta.

La Casa White ofrece bañera de hidromasaje. Hay un parque acuático en el propio alojamiento, y se puede practicar pesca cerca.

El aeropuerto (Aeropuerto de Ibagué) está a 89 km.",¿Qué hay cerca?: Parque de la Candelaria - 16 km || Restaurantes y cafeterías: Restaurantepastelería Manjares del Cruce - 15 km; RestauranteBrasa y Sazón - 15 km; Cafetería/barBeef Puff - 15 km || Aeropuertos más cercanos: Aeropuerto de Ibagué - 89 km
Mansion del Lago - Hotel Prado,https://www.booking.com/hotel/co/mansion-del-lago-prado-prado.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,,,Prado,"Mansion del Lago - Hotel Prado tiene piscina al aire libre, centro de fitness, jardín y terraza en Prado. Este alojamiento, que tiene servicio de habitaciones, también ofrece zona de juegos infantil. El restaurante sirve platos de cocina belga y de cocina francesa, y el bar es ideal para tomar algo.

Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También cuentan con wifi gratis, y algunas habitaciones cuentan con vistas a la montaña. En el hotel, las habitaciones disponen de ropa de cama y toallas.

El desayuno está disponible e incluye opciones a la carta, americanas o vegetarianas.",¿Qué hay cerca?: Parque de la Candelaria - 13 km* || Restaurantes y cafeterías: RestauranteRestaurante Corprado - 11 km*; Restaurantepastelería Manjares del Cruce - 12 km*; RestauranteBrasa y Sazón - 13 km* || Aeropuertos más cercanos: Aeropuerto de Ibagué - 75 km*
Casa Natalie,https://www.booking.com/hotel/co/casa-natalie.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,"7,0",3 comentarios,Prado,"Casa Natalie, que tiene piscina al aire libre, jardín y terraza, dispone de alojamiento en Prado con wifi gratis y vistas a la montaña. El chalet de montaña, que cuenta con piscina privada, está en una zona en la que se pueden practicar actividades como esquí y ping pong.

El chalet de montaña tiene 6 dormitorios, TV de pantalla plana, una cocina equipada con nevera y microondas, y 2 baños con ducha. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

El chalet de montaña ofrece servicio de alquiler de equipamiento de esquí.

El aeropuerto (Aeropuerto de Ibagué) está a 123 km.",Restaurantes y cafeterías: RestauranteRestaurante Corprado - 7 km; Restaurantepastelería Manjares del Cruce - 37 km; RestauranteBrasa y Sazón - 37 km
"Cabaña de Lujo, Isla El Faro",https://www.booking.com/hotel/co/el-faro-prado.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,"8,0",2 comentarios,Prado,"Cabaña de Lujo, Isla El Faro está en Prado y dispone de alojamiento con piscina privada, balcón y vistas a la piscina. Tiene terraza, vistas a la montaña y wifi gratis en todo el alojamiento.

Esta villa con aire acondicionado consta de 2 dormitorios independientes, 3 baños con artículos de aseo gratuitos, una zona de estar y una sala de estar. Hay toallas y ropa de cama en la villa.

En la villa se sirve un desayuno a la carta.

El aeropuerto (Aeropuerto de Ibagué) está a 104 km.",¿Qué hay cerca?: Parque de la Candelaria - 18 km || Restaurantes y cafeterías: RestauranteRestaurante Corprado - 9 km; Restaurantepastelería Manjares del Cruce - 17 km; RestauranteBrasa y Sazón - 17 km || Aeropuertos más cercanos: Aeropuerto de Ibagué - 98 km
Quinta Prado Mar,https://www.booking.com/hotel/co/quinta-prado-mar.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,,,Prado,"Quinta Prado Mar, que cuenta con jardín, piscina al aire libre abierta todo el año y vistas al lago, se encuentra en Prado. Esta casa o chalet ofrece acceso a una cocina totalmente equipada y a un patio.

Esta casa o chalet tiene vistas a la montaña y a la piscina, ofrece 3 dormitorios y da a un balcón. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto más cercano (Aeropuerto de Ibagué) está a 99 km del alojamiento.",¿Qué hay cerca?: Parque de la Candelaria - 12 km || Restaurantes y cafeterías: RestauranteRestaurante Corprado - 9 km; Restaurantepastelería Manjares del Cruce - 12 km; RestauranteBrasa y Sazón - 11 km || Aeropuertos más cercanos: Aeropuerto de Ibagué - 98 km
LA FLORESTA ISLA DEL SoL,https://www.booking.com/hotel/co/floresta-isla-del-sol.es.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wcmFkbywgdG9saW1hSApYBGgyiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALMt9XGBsACAdICJGVlZjZjM2ViLWYwZDEtNDIwZS05MDVjLTk2ZTAyMjdiYWU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=00a56ae604c10235&srepoch=1758813142&from=searchresults,,,Prado,"LA FLORESTA ISLA DEL SoL, que está en Prado, tiene aire acondicionado y ofrece alojamiento con piscina privada, vistas a la piscina y balcón. La casa o chalet, que tiene patio, está en una zona en la que se pueden practicar actividades como pesca y ping pong.

La casa o chalet ofrece una terraza y vistas a la montaña e incluye 4 dormitorios, sala de estar, TV de pantalla plana vía satélite, cocina equipada y 5 baños con ducha y bañera.

Se puede practicar senderismo o esquí, ir a la piscina al aire libre, disfrutar de un momento de relax en el jardín o usar la zona de barbacoa.

El aeropuerto (Aeropuerto de Ibagué) está a 123 km.",¿Qué hay cerca?: Parque de la Candelaria - 18 km || Restaurantes y cafeterías: RestauranteRestaurante Corprado - 12 km; Restaurantepastelería Manjares del Cruce - 17 km; RestauranteBrasa y Sazón - 17 km || Aeropuertos más cercanos: Aeropuerto de Ibagué - 98 km
